Tiempo de ejecucion total: 3.45872e+008 ns
Nodo_Origen;Nodo_Destino;Peso_Del_Camino
112;110;-222.222
112;111;-5.18403
112;112;0
113;69;-73.2482
113;80;-166.901
113;85;-158.22
113;87;-119.004
113;88;-98.7614
113;89;-71.4069
113;100;-65.5388
113;103;-53.9244
113;110;-270.069
113;111;-53.0309
113;112;-47.8469
113;113;0
114;69;-118.497
114;80;-212.149
114;85;-203.469
114;87;-164.253
114;88;-144.01
114;89;-116.656
114;100;-110.788
114;103;-99.1733
114;110;-315.318
114;111;-98.2798
114;112;-93.0958
114;113;-45.2489
114;114;0
115;73;-66.0575
115;76;-54.4466
115;108;-50.6254
115;109;-47.3934
115;115;0
116;73;-221.104
116;76;-209.493
116;108;-205.671
116;109;-202.439
116;110;-0.590912
116;115;-5.04032
116;116;0
117;69;-121.124
117;73;-328.773
117;76;-317.162
117;80;-214.776
117;85;-206.096
117;87;-166.88
117;88;-146.637
117;89;-119.283
117;100;-113.414
117;103;-101.8
117;108;-313.341
117;109;-310.109
117;110;-317.945
117;111;-100.907
117;112;-95.7225
117;113;-47.8756
117;114;-2.62674
117;115;-112.71
117;116;-107.669
117;117;0
118;69;-29.356
118;74;-30.8647
118;78;-60.6061
118;80;-82.7369
118;85;-74.0564
118;87;-34.8407
118;89;-27.5147
118;90;-22.4824
118;93;-2.83608
118;96;-9.49668
118;118;0
119;69;-138.052
119;74;-139.56
119;78;-169.302
119;80;-261.663
119;85;-252.982
119;87;-213.767
119;88;-193.524
119;89;-136.21
119;90;-131.178
119;93;-111.532
119;96;-118.192
119;100;-160.301
119;101;-53.9181
119;118;-108.696
119;119;0
120;73;-287.329
120;76;-275.718
120;108;-271.897
120;109;-268.665
120;110;-66.8161
120;115;-71.2655
120;116;-66.2252
120;120;0
121;69;-125.401
121;73;-320.886
121;76;-309.275
121;80;-219.054
121;85;-210.373
121;87;-171.157
121;88;-150.915
121;89;-123.56
121;100;-117.692
121;103;-106.078
121;108;-305.454
121;109;-302.222
121;110;-322.222
121;111;-105.184
121;112;-100
121;115;-104.823
121;116;-99.7822
121;120;-33.557
121;121;0
122;73;-278.575
122;76;-266.964
122;108;-263.143
122;109;-259.911
122;110;-58.0622
122;115;-62.5116
122;116;-57.4713
122;122;0
123;69;-674.053
123;73;-72.6192
123;76;-61.0083
123;80;-767.705
123;85;-759.024
123;87;-719.809
123;88;-699.566
123;89;-672.211
123;100;-666.343
123;103;-654.729
123;108;-57.1871
123;109;-53.955
123;110;-870.873
123;111;-653.835
123;112;-648.651
123;113;-600.804
123;114;-555.556
123;115;-6.56168
123;123;0
124;69;-130.918
124;73;-390.422
124;76;-378.811
124;80;-224.57
124;85;-215.89
124;87;-176.674
124;88;-156.431
124;89;-129.077
124;100;-123.209
124;103;-111.594
124;108;-374.989
124;109;-371.757
124;110;-327.739
124;111;-110.701
124;112;-105.517
124;113;-57.6699
124;114;-12.4211
124;115;-174.358
124;116;-169.318
124;117;-9.79432
124;120;-103.093
124;124;0
125;21;-81.9672
125;73;-278.575
125;76;-266.964
125;108;-263.143
125;109;-259.911
125;110;-58.0622
125;115;-62.5116
125;116;-57.4713
125;125;0
126;22;-171.537
126;24;-129.87
126;73;-437.305
126;76;-425.694
126;108;-421.873
126;109;-418.641
126;110;-216.792
126;115;-221.242
126;116;-216.201
126;120;-41.4938
126;122;-158.73
126;126;0
127;70;-133.931
127;71;-27.5482
127;73;-333.625
127;76;-322.014
127;108;-318.193
127;109;-314.961
127;110;-113.112
127;115;-117.562
127;116;-112.521
127;120;-46.2963
127;127;0
128;70;-246.291
128;71;-139.908
128;73;-445.985
128;74;-29.4729
128;76;-434.374
128;80;-25.3203
128;82;-17.8854
128;84;-10.7066
128;108;-430.553
128;109;-427.32
128;110;-225.472
128;115;-229.921
128;116;-224.881
128;120;-158.656
128;127;-112.36
128;128;0
129;70;-294.474
129;71;-188.091
129;72;-207.849
129;75;-279.724
129;79;-258.125
129;81;-256.162
129;86;-249.213
129;94;-106.124
129;98;-163.006
129;99;-54.3102
129;129;0
130;70;-381.009
130;71;-274.626
130;72;-294.384
130;75;-366.259
130;79;-344.66
130;81;-342.697
130;86;-335.748
130;94;-192.659
130;98;-249.541
130;99;-140.845
130;129;-55.2486
130;130;0
131;131;0
132;69;-10.356
132;77;-4.52489
132;91;-5.76037
132;95;-5.93472
132;131;-33.3333
132;132;0
133;69;-267.451
133;74;-268.96
133;78;-298.701
133;80;-320.832
133;85;-312.152
133;87;-272.936
133;88;-46.0812
133;89;-265.61
133;90;-260.578
133;93;-240.931
133;96;-247.592
133;100;-12.8586
133;106;-6.19195
133;118;-238.095
133;133;0
134;69;-368.497
134;80;-462.149
134;85;-453.469
134;87;-414.253
134;88;-394.01
134;89;-366.656
134;100;-360.788
134;103;-349.173
134;110;-565.318
134;111;-348.28
134;112;-343.096
134;113;-295.249
134;114;-250
134;134;0
135;69;-595.77
135;80;-689.422
135;85;-680.742
135;87;-641.526
135;88;-621.283
135;89;-593.929
135;100;-588.06
135;101;-36.1011
135;103;-576.446
135;110;-792.591
135;111;-575.552
135;112;-570.368
135;113;-522.522
135;114;-477.273
135;134;-227.273
135;135;0
136;69;-681.379
136;73;-79.9452
136;76;-68.3343
136;80;-775.031
136;85;-766.35
136;87;-727.135
136;88;-706.892
136;89;-679.537
136;100;-673.669
136;103;-662.055
136;108;-64.5131
136;109;-61.2811
136;110;-878.199
136;111;-661.161
136;112;-655.977
136;113;-608.13
136;114;-562.882
136;115;-13.8877
136;123;-7.32601
136;136;0
137;69;-151.988
137;80;-245.641
137;85;-236.96
137;87;-197.744
137;88;-177.502
137;89;-150.147
137;100;-144.279
137;103;-132.665
137;110;-348.809
137;111;-131.771
137;112;-126.587
137;113;-78.7402
137;137;0
138;22;-34.1297
138;73;-348.678
138;76;-337.067
138;108;-333.246
138;109;-330.014
138;110;-128.166
138;115;-132.615
138;116;-127.575
138;120;-61.3497
138;138;0
139;69;-826.306
139;73;-330.3
139;76;-318.689
139;80;-919.958
139;85;-911.278
139;87;-872.062
139;88;-851.819
139;89;-824.465
139;100;-818.597
139;103;-806.982
139;108;-314.868
139;109;-311.636
139;110;-1023.13
139;111;-806.089
139;112;-800.905
139;113;-753.058
139;114;-707.809
139;115;-158.815
139;116;-109.196
139;117;-1.52718
139;123;-152.254
139;134;-50.7614
139;136;-144.928
139;139;0
140;69;-754.335
140;73;-152.901
140;76;-141.29
140;80;-847.987
140;85;-839.306
140;87;-800.091
140;88;-779.848
140;89;-752.493
140;100;-746.625
140;103;-735.011
140;108;-137.469
140;109;-134.237
140;110;-951.155
140;111;-734.117
140;112;-728.933
140;113;-681.086
140;114;-635.837
140;115;-86.8437
140;123;-80.282
140;136;-72.956
140;140;0
141;69;-829.499
141;73;-333.493
141;76;-321.882
141;80;-923.151
141;85;-914.471
141;87;-875.255
141;88;-855.012
141;89;-827.658
141;100;-821.79
141;101;-76.1011
141;103;-810.175
141;108;-318.061
141;109;-314.829
141;110;-1026.32
141;111;-809.282
141;112;-804.098
141;113;-756.251
141;114;-711.002
141;115;-162.008
141;116;-112.389
141;117;-4.72003
141;123;-155.446
141;134;-267.273
141;135;-40
141;136;-148.12
141;139;-3.19285
141;140;-0.443951
141;141;0
142;69;-53.8104
142;73;-412.329
142;76;-400.718
142;80;-147.463
142;85;-138.782
142;87;-99.5665
142;88;-79.3236
142;89;-51.9691
142;100;-46.101
142;103;-34.4866
142;108;-396.897
142;109;-393.665
142;110;-250.631
142;111;-33.5931
142;112;-28.4091
142;115;-196.265
142;116;-191.225
142;120;-125
142;142;0
143;80;-281.819
143;85;-273.138
143;87;-233.923
143;88;-213.68
143;100;-180.457
143;101;-74.0741
143;143;0
144;70;-191.853
144;71;-85.4701
144;73;-310.37
144;76;-298.759
144;108;-294.938
144;109;-291.706
144;110;-89.8576
144;115;-94.307
144;116;-89.2666
144;120;-23.0415
144;144;0
145;70;-245.907
145;71;-139.524
145;72;-34.8279
145;73;-364.424
145;74;-77.696
145;76;-352.813
145;80;-73.5434
145;82;-66.1085
145;84;-58.9297
145;92;-30.303
145;104;-54.054
145;108;-348.992
145;109;-345.76
145;110;-143.912
145;115;-148.361
145;116;-143.321
145;120;-77.0955
145;144;-54.054
145;145;0
146;69;-153.726
146;70;-432.291
146;71;-325.908
146;72;-345.666
146;74;-155.234
146;75;-417.541
146;78;-184.976
146;79;-395.942
146;80;-277.337
146;81;-393.979
146;85;-268.656
146;86;-387.03
146;87;-229.441
146;88;-209.198
146;89;-151.884
146;90;-146.852
146;93;-127.206
146;94;-243.941
146;96;-133.866
146;98;-300.823
146;99;-192.127
146;100;-175.975
146;101;-69.5921
146;118;-124.37
146;119;-15.674
146;129;-106.531
146;130;-51.282
146;146;0
147;69;-207.78
147;70;-486.345
147;71;-379.962
147;72;-399.72
147;74;-209.288
147;75;-471.595
147;78;-239.03
147;79;-449.996
147;80;-331.391
147;81;-448.033
147;83;-62.0807
147;85;-322.71
147;86;-441.084
147;87;-283.495
147;88;-263.252
147;89;-205.938
147;90;-200.906
147;93;-181.26
147;94;-297.995
147;96;-187.92
147;97;-56.4972
147;98;-354.877
147;99;-246.181
147;100;-230.029
147;101;-123.646
147;118;-178.424
147;119;-69.728
147;129;-160.585
147;130;-105.336
147;146;-54.054
147;147;0
148;70;-395.672
148;71;-289.289
148;72;-309.047
148;75;-380.921
148;79;-359.323
148;80;-271.036
148;81;-357.36
148;85;-262.355
148;86;-350.41
148;87;-223.14
148;88;-202.897
148;94;-207.321
148;98;-264.203
148;99;-155.508
148;100;-169.674
148;101;-63.2911
148;129;-69.9114
148;130;-14.6628
148;148;0
149;70;-451.227
149;71;-344.844
149;72;-364.602
149;74;-23.464
149;75;-436.477
149;79;-414.879
149;80;-326.591
149;81;-412.915
149;82;-11.8765
149;85;-317.911
149;86;-405.966
149;87;-278.695
149;88;-258.452
149;94;-262.877
149;98;-319.759
149;99;-211.063
149;100;-225.23
149;101;-118.847
149;129;-125.467
149;130;-70.2183
149;148;-55.5556
149;149;0
150;70;-460.204
150;71;-353.821
150;72;-373.579
150;74;-32.4406
150;75;-445.453
150;79;-423.855
150;80;-335.568
150;81;-421.892
150;82;-20.8531
150;84;-4.363
150;85;-326.888
150;86;-414.943
150;87;-287.672
150;88;-267.429
150;94;-271.854
150;98;-328.736
150;99;-220.04
150;100;-234.206
150;101;-127.823
150;129;-134.444
150;130;-79.195
150;148;-64.5322
150;149;-8.97666
150;150;0
151;69;-210.515
151;73;-355.608
151;74;-212.024
151;76;-343.997
151;78;-241.765
151;80;-514.377
151;85;-505.696
151;87;-466.481
151;88;-446.238
151;89;-208.674
151;90;-203.642
151;93;-183.995
151;96;-190.656
151;100;-413.015
151;101;-306.632
151;103;-140.8
151;108;-340.176
151;109;-336.944
151;110;-356.944
151;111;-139.906
151;112;-134.722
151;115;-139.545
151;116;-134.504
151;118;-181.159
151;119;-72.4638
151;120;-68.2793
151;121;-34.7222
151;143;-232.558
151;151;0
152;69;-264.569
152;73;-409.662
152;74;-266.078
152;76;-398.051
152;78;-295.819
152;80;-568.431
152;82;-5.11247
152;85;-559.75
152;87;-520.535
152;88;-500.292
152;89;-262.728
152;90;-257.696
152;93;-238.049
152;96;-244.71
152;100;-467.069
152;101;-360.686
152;103;-194.854
152;105;-11.534
152;108;-394.23
152;109;-390.998
152;110;-410.998
152;111;-193.96
152;112;-188.776
152;115;-193.599
152;116;-188.558
152;118;-235.213
152;119;-126.518
152;120;-122.333
152;121;-88.7763
152;143;-286.612
152;151;-54.054
152;152;0
153;70;-261.128
153;71;-154.745
153;73;-460.821
153;74;-44.3097
153;76;-449.21
153;80;-40.1571
153;82;-32.7222
153;84;-25.5434
153;104;-5.2356
153;108;-445.389
153;109;-442.157
153;110;-240.309
153;115;-244.758
153;116;-239.718
153;120;-173.493
153;127;-127.196
153;128;-14.8368
153;153;0
154;70;-313.742
154;71;-207.359
154;72;-227.117
154;75;-298.991
154;77;-33.3333
154;79;-277.393
154;81;-275.43
154;86;-268.48
154;94;-125.391
154;98;-182.274
154;99;-73.578
154;129;-19.2678
154;131;-32.8947
154;154;0
155;69;-43.0881
155;77;-14.8661
155;91;-16.1016
155;95;-40.3226
155;131;-43.6746
155;132;-10.3413
155;155;0
156;69;-170.625
156;74;-172.134
156;78;-201.875
156;80;-294.236
156;85;-285.556
156;87;-246.34
156;88;-226.097
156;89;-168.784
156;90;-163.751
156;93;-144.105
156;96;-150.766
156;100;-192.874
156;101;-86.4914
156;118;-141.269
156;119;-32.5733
156;131;-23.5294
156;156;0
157;69;-206.339
157;74;-207.848
157;78;-237.589
157;80;-329.95
157;85;-321.27
157;87;-282.054
157;88;-261.811
157;89;-204.498
157;90;-199.466
157;93;-179.819
157;96;-186.48
157;100;-228.589
157;101;-122.206
157;118;-176.983
157;119;-68.2876
157;131;-59.2437
157;156;-35.7143
157;157;0
158;26;-344.677
158;27;-282.128
158;28;-280.983
158;29;-260.504
158;30;-323.338
158;35;-217.137
158;44;-237.88
158;45;-206.598
158;46;-186.314
158;47;-153.846
158;158;0
159;69;-212.086
159;74;-213.595
159;78;-243.336
159;80;-335.698
159;85;-327.017
159;87;-287.801
159;88;-267.558
159;89;-210.245
159;90;-205.213
159;91;-4.20168
159;93;-185.566
159;96;-192.227
159;100;-234.336
159;101;-127.953
159;118;-182.73
159;119;-74.0347
159;131;-64.9908
159;156;-41.4614
159;157;-5.74713
159;159;0
160;69;-217.703
160;74;-219.211
160;78;-248.953
160;80;-341.314
160;85;-332.634
160;87;-293.418
160;88;-273.175
160;89;-215.862
160;90;-210.829
160;91;-3.71747
160;93;-191.183
160;96;-197.843
160;100;-239.952
160;101;-133.569
160;118;-188.347
160;119;-79.6512
160;131;-70.6073
160;156;-47.0779
160;157;-11.3636
160;160;0
161;15;-66.6667
161;161;0
162;3;-84.7458
162;162;0
163;17;-27.933
163;163;0
164;26;-256.41
164;164;0
165;26;-281.921
165;164;-25.5102
165;165;0
166;26;-280.334
166;164;-23.9234
166;166;0
167;167;0
168;167;-42.9185
168;168;0
169;169;0
170;170;0
171;170;-61.6346
171;171;0
172;70;-131.259
172;71;-24.8756
172;170;-22.4719
172;172;0
173;170;-19.685
173;173;0
174;43;-2000
174;170;-36.8967
174;173;-17.2117
174;174;0
175;43;-2070.42
175;170;-107.319
175;173;-87.6342
175;174;-70.4225
175;175;0
176;37;-344.828
176;43;-2037.74
176;170;-74.6326
176;173;-54.9475
176;174;-37.7358
176;176;0
177;2;-502.942
177;5;-382.46
177;13;-88.3423
177;14;-59.5238
177;177;0
178;70;-396.684
178;71;-290.301
178;94;-208.333
178;178;0
179;17;-42.735
179;21;-47.1698
179;22;-81.9672
179;169;-44.4444
179;179;0
180;180;0
181;180;-133.333
181;181;0
182;182;0
183;25;-148.832
183;26;-160.782
183;28;-97.0874
183;29;-95.2381
183;45;-175.849
183;46;-37.3134
183;49;-78.4092
183;50;-26.5957
183;183;0
184;34;-35.9712
184;169;-60.241
184;184;0
185;63;-116.272
185;64;-318.867
185;65;-44.843
185;70;-325.433
185;71;-219.05
185;170;-279.425
185;172;-194.175
185;173;-259.74
185;180;-278.261
185;181;-144.928
185;185;0
186;2;-2654.96
186;5;-2534.47
186;13;-2240.36
186;15;-2300.03
186;18;-2200.03
186;19;-2193.87
186;20;-2141.24
186;54;-141.24
186;55;-62.5
186;161;-37.037
186;186;0
187;2;-268.956
187;3;-641.961
187;8;-490.446
187;11;-220.176
187;12;-149.254
187;187;0
188;188;0
189;2;-2674
189;5;-2553.52
189;13;-2259.4
189;15;-2319.08
189;17;-72.776
189;18;-2219.08
189;19;-2212.92
189;20;-2160.29
189;26;-318.91
189;54;-160.288
189;55;-81.5476
189;161;-56.0847
189;163;-44.843
189;164;-62.5
189;182;-32.5733
189;186;-19.0476
189;189;0
190;26;-154.645
190;27;-92.0947
190;28;-90.9503
190;29;-70.4713
190;30;-91.3464
190;31;-84.7458
190;44;-47.8469
190;57;-23.6967
190;170;-99.1229
190;171;-37.4883
190;190;0
191;37;-373.399
191;43;-2066.31
191;58;-35.7143
191;170;-103.204
191;173;-83.519
191;174;-66.3073
191;176;-28.5714
191;191;0
192;2;-2706.47
192;5;-2585.99
192;13;-2291.87
192;15;-2351.55
192;17;-105.244
192;18;-2251.55
192;19;-2245.39
192;20;-2192.76
192;26;-351.378
192;54;-192.755
192;55;-114.015
192;161;-88.5522
192;163;-77.3106
192;164;-94.9675
192;182;-65.0408
192;186;-51.5151
192;189;-32.4675
192;192;0
193;180;-436.364
193;181;-303.03
193;193;0
194;70;-498.724
194;71;-392.341
194;94;-310.374
194;170;-98.4252
194;172;-54.9451
194;173;-78.7402
194;178;-102.041
194;180;-577.209
194;181;-443.875
194;193;-140.845
194;194;0
195;167;-136.376
195;168;-93.4579
195;188;-28.0112
195;195;0
196;167;-123.564
196;168;-80.6452
196;196;0
197;167;-281.304
197;168;-238.385
197;188;-172.939
197;195;-144.928
197;197;0
198;167;-494.07
198;168;-451.151
198;188;-385.705
198;195;-357.693
198;197;-212.766
198;198;0
199;167;-508.577
199;168;-465.658
199;188;-400.211
199;195;-372.2
199;197;-227.273
199;199;0
200;167;-721.343
200;168;-678.424
200;188;-612.977
200;195;-584.966
200;197;-440.039
200;199;-212.766
200;200;0
201;167;-594.783
201;168;-551.865
201;188;-486.418
201;195;-458.407
201;197;-313.48
201;199;-86.2069
201;201;0
202;26;-364.367
202;164;-107.957
202;166;-84.0336
202;167;-688.241
202;168;-645.323
202;188;-579.876
202;195;-551.865
202;197;-406.938
202;199;-179.665
202;201;-93.4579
202;202;0
203;203;0
204;26;-260.227
204;164;-3.81679
204;167;-136.302
204;168;-93.384
204;196;-12.7388
204;203;-140.845
204;204;0
205;25;-267.879
205;26;-279.829
205;28;-216.135
205;29;-214.286
205;45;-294.897
205;46;-156.361
205;49;-197.457
205;50;-145.643
205;167;-756.074
205;168;-713.155
205;183;-119.048
205;188;-647.709
205;195;-619.697
205;197;-474.77
205;199;-247.497
205;201;-161.29
205;205;0
206;2;-2799.93
206;3;-841.961
206;5;-2679.45
206;8;-690.446
206;11;-420.176
206;12;-349.254
206;13;-2385.33
206;15;-2445.01
206;17;-198.701
206;18;-2345.01
206;19;-2338.84
206;20;-2286.21
206;26;-444.836
206;54;-286.213
206;55;-207.473
206;161;-182.01
206;162;-227.273
206;163;-170.769
206;164;-188.425
206;182;-158.499
206;186;-144.973
206;187;-200
206;189;-125.925
206;192;-93.4579
206;206;0
207;2;-2797.38
207;5;-2676.9
207;13;-2382.78
207;15;-2442.46
207;17;-196.153
207;18;-2342.46
207;19;-2336.3
207;20;-2283.66
207;26;-442.287
207;54;-283.664
207;55;-204.924
207;161;-179.461
207;163;-168.22
207;164;-185.877
207;182;-155.95
207;186;-142.424
207;189;-123.377
207;192;-90.9091
207;207;0
208;70;-122.83
208;71;-16.4474
208;208;0
209;27;-114.942
209;180;-86.2069
209;209;0
210;203;-344.828
210;210;0
211;70;-554.59
211;71;-448.207
211;94;-366.24
211;170;-154.291
211;172;-112.36
211;173;-134.606
211;178;-157.907
211;180;-633.075
211;181;-499.741
211;193;-196.711
211;194;-55.8659
211;211;0
212;38;-90.9091
212;57;-166.451
212;61;-72.9927
212;170;-134.627
212;171;-72.9927
212;212;0
213;2;-2871.36
213;3;-913.39
213;5;-2750.88
213;8;-761.875
213;11;-491.604
213;12;-420.682
213;13;-2456.76
213;15;-2516.43
213;17;-270.13
213;18;-2416.43
213;19;-2410.27
213;20;-2357.64
213;26;-516.264
213;54;-357.642
213;55;-278.902
213;161;-253.439
213;162;-298.701
213;163;-242.197
213;164;-259.854
213;180;-191.137
213;181;-57.8035
213;182;-229.927
213;186;-216.402
213;187;-271.429
213;189;-197.354
213;192;-164.887
213;206;-71.4286
213;213;0
214;2;-2956.83
214;3;-998.86
214;5;-2836.35
214;8;-847.345
214;11;-577.074
214;12;-506.152
214;13;-2542.23
214;15;-2601.9
214;17;-355.6
214;18;-2501.9
214;19;-2495.74
214;20;-2443.11
214;26;-601.734
214;54;-443.112
214;55;-364.372
214;161;-338.909
214;162;-384.171
214;163;-327.667
214;164;-345.324
214;180;-276.607
214;181;-143.274
214;182;-315.397
214;186;-301.872
214;187;-356.899
214;189;-282.824
214;192;-250.357
214;203;-256.41
214;206;-156.899
214;213;-85.4701
214;214;0
215;70;-545.453
215;71;-439.07
215;94;-357.103
215;170;-145.154
215;172;-101.674
215;173;-125.469
215;178;-148.77
215;180;-623.938
215;181;-490.604
215;193;-187.574
215;194;-46.729
215;208;-31.25
215;215;0
216;2;-3101.24
216;3;-1143.27
216;5;-2980.76
216;8;-991.76
216;11;-721.489
216;12;-650.567
216;13;-2686.64
216;15;-2746.32
216;17;-500.015
216;18;-2646.32
216;19;-2640.16
216;20;-2587.53
216;26;-746.149
216;34;-62.218
